TIME	TYPE	TILT_MOD	DATA
22:43:21	ser	-0.0002394450946695513	{"neutral":0.03188988193869591,"happy":0.09172385931015015,"sad":0.27688223123550415,"angry":0.4731941521167755,"surprise":0.12630988657474518}
22:43:22	pulse	0	89
22:43:23	fer	-0.0003450239756024216	{"angry":0.08972093462944031,"happy":0.12991052865982056,"neutral":0.1237039864063263,"sad":0.6550350785255432,"surprise":0.0016294557135552168}
22:43:23	ser	-0.0002455141977362324	{"neutral":0.028009023517370224,"happy":0.08629678189754486,"sad":0.2604138255119324,"angry":0.4985939562320709,"surprise":0.12668639421463013}
22:43:24	pulse	0	90
22:43:24	pulse	0	89
22:43:25	pulse	0	88
22:43:26	ser	-0.00021877901459244065	{"neutral":0.035848841071128845,"happy":0.09785018861293793,"sad":0.28340765833854675,"angry":0.45354756712913513,"surprise":0.12934578955173492}
22:43:26	fer	-0.0000822176344910247	{"angry":0.1697499305009842,"happy":0.19308403134346008,"neutral":0.11641319841146469,"sad":0.4995303452014923,"surprise":0.021222557872533798}
22:43:26	pulse	0	86
22:43:27	pulse	0	85
22:43:28	ser	-0.00021959554474428739	{"neutral":0.02953089214861393,"happy":0.08842889964580536,"sad":0.26788124442100525,"angry":0.4875040054321289,"surprise":0.1266549974679947}
22:43:28	pulse	0	85
22:43:29	fer	-0.0008263929465076938	{"angry":0.07525580376386642,"happy":0.04135452210903168,"neutral":0.0615273155272007,"sad":0.8120136857032776,"surprise":0.009848631918430328}
22:43:29	pulse	0	85
22:43:30	ser	-0.00023134286414990338	{"neutral":0.02848341315984726,"happy":0.08735692501068115,"sad":0.2616991400718689,"angry":0.49488502740859985,"surprise":0.12757553160190582}
22:43:30	pulse	0	85
22:43:31	pulse	0	85
22:43:32	fer	0.00004022888297522398	{"angry":0.1875057816505432,"happy":0.21636562049388885,"neutral":0.09940025210380554,"sad":0.4856671392917633,"surprise":0.011061150580644608}
22:43:32	pulse	0	86
22:43:32	ser	-0.00024439202348167446	{"neutral":0.02950592339038849,"happy":0.0882430151104927,"sad":0.2682470381259918,"angry":0.48769620060920715,"surprise":0.12630778551101685}
22:43:33	pulse	0	87
22:43:34	pulse	0	88
22:43:34	ser	-0.00020286233960156025	{"neutral":0.03172750771045685,"happy":0.09237073361873627,"sad":0.27342838048934937,"angry":0.4737354516983032,"surprise":0.1287378966808319}
22:43:35	fer	-0.0001989075226920614	{"angry":0.1746760606765747,"happy":0.14506030082702637,"neutral":0.1619815230369568,"sad":0.49493730068206787,"surprise":0.023344844579696655}
22:43:35	pulse	0	89
22:43:36	pulse	0	90
22:43:36	ser	-0.00018853868501641363	{"neutral":0.02970808371901512,"happy":0.08834287524223328,"sad":0.2699383497238159,"angry":0.48630547523498535,"surprise":0.12570516765117645}
22:43:37	pulse	0	91
22:43:37	fer	-0.0003938440900123144	{"angry":0.21450293064117432,"happy":0.10178915411233902,"neutral":0.17027108371257782,"sad":0.47868090867996216,"surprise":0.03475597873330116}
22:43:38	pulse	0	90
22:43:38	ser	-0.00020275651789565877	{"neutral":0.03654375299811363,"happy":0.09861042350530624,"sad":0.2853904962539673,"angry":0.45035916566848755,"surprise":0.1290961652994156}
22:43:39	pulse	0	89
22:43:40	pulse	0	87
22:43:40	ser	-0.00017894013816811827	{"neutral":0.027812277898192406,"happy":0.08553122729063034,"sad":0.26084667444229126,"angry":0.5001721978187561,"surprise":0.12563757598400116}
22:43:41	fer	-0.00038065861455639435	{"angry":0.15600129961967468,"happy":0.1075778678059578,"neutral":0.14491815865039825,"sad":0.5790413022041321,"surprise":0.012461376376450062}
22:43:42	pulse	0	86
22:43:43	ser	-0.00022239295708366413	{"neutral":0.028106022626161575,"happy":0.08640873432159424,"sad":0.2609519064426422,"angry":0.4978906512260437,"surprise":0.1266426295042038}
22:43:43	pulse	0	89
22:43:44	fer	0.0017045848670592147	{"angry":0.08899310231208801,"happy":0.5804970860481262,"neutral":0.07439859956502914,"sad":0.2482483685016632,"surprise":0.007862772792577744}
22:43:44	pulse	0	90
22:43:45	ser	-0.0001694020714506604	{"neutral":0.03380448371171951,"happy":0.09429460018873215,"sad":0.2820192575454712,"angry":0.4631585478782654,"surprise":0.12672308087348938}
22:43:45	pulse	0	90
22:43:46	pulse	0	91
22:43:47	fer	-0.0001354970260845148	{"angry":0.16506126523017883,"happy":0.17372673749923706,"neutral":0.12730243802070618,"sad":0.5232316255569458,"surprise":0.010677920654416084}
22:43:47	ser	-0.0001864442203067737	{"neutral":0.03000704012811184,"happy":0.08862695842981339,"sad":0.2719586491584778,"angry":0.4842289388179779,"surprise":0.12517833709716797}
22:43:47	pulse	0	90
22:43:49	pulse	0	89
22:43:49	ser	-0.00018976086827088984	{"neutral":0.030447566881775856,"happy":0.09009221941232681,"sad":0.27117812633514404,"angry":0.48125988245010376,"surprise":0.12702225148677826}
22:43:49	pulse	0	85
22:43:50	fer	-0.00003231823412178786	{"angry":0.2289608269929886,"happy":0.20529872179031372,"neutral":0.12661170959472656,"sad":0.39868777990341187,"surprise":0.040440987795591354}
22:43:50	pulse	0	85
